Índice de preços,2024,2025,1º tri 2026,_nro_reuniao,_dataReferencia,_table_idx,2º tri ​2026,2º tri 2026,3º tri 2026,2026,​2026,1º tri 2027,2º tri 2027
IPCA,4.3,3.7,3.5,265,2024-09-18,0,,,,,,,
IPCA livres,4.4,3.6,3.4,265,2024-09-18,0,,,,,,,
IPCA administrados,4.2,4.0,3.9,265,2024-09-18,0,,,,,,,
IPCA,4.6,3.9,,266,2024-11-06,0,3.6,,,,,,
IPCA livres,4.5,3.8,,266,2024-11-06,0,3.4,,,,,,
IPCA administrados,4.9,4.2,,266,2024-11-06,0,4.3,,,,,,
IPCA,4.9,4.5,,267,2024-12-11,0,,4.0,,,,,
IPCA livres,5.0,4.5,,267,2024-12-11,0,,3.8,,,,,
IPCA administrados,4.6,4.5,,267,2024-12-11,0,,4.6,,,,,
IPCA,,5.2,,268,2025-01-29,0,,,4.0,,,,
IPCA livres,,5.2,,268,2025-01-29,0,,,3.8,,,,
IPCA administrados,,5.2,,268,2025-01-29,0,,,4.6,,,,
IPCA,,5.1,,269,2025-03-19,0,,,3.9,,,,
IPCA livres,,5.4,,269,2025-03-19,0,,,3.8,,,,
IPCA administrados,,4.3,,269,2025-03-19,0,,,4.2,,,,
IPCA,,4.8,,270,2025-05-07,0,,,,3.6,,,
IPCA livres,,5.3,,270,2025-05-07,0,,,,3.4,,,
IPCA administrados,,3.5,,270,2025-05-07,0,,,,4.0,,,
IPCA,,4.9,,271,2025-06-18,0,,,,3.6,,,
IPCA livres,,5.2,,271,2025-06-18,0,,,,3.4,,,
IPCA administrados,,3.8,,271,2025-06-18,0,,,,4.1,,,
IPCA,,4.9,,272,2025-07-30,0,,,,,3.6,3.4,
IPCA livres,,5.1,,272,2025-07-30,0,,,,,3.5,3.3,
IPCA administrados,,4.4,,272,2025-07-30,0,,,,,4.0,3.9,
IPCA,,4.8,,273,2025-09-17,0,,,,3.6,,3.4,
IPCA livres,,5.0,,273,2025-09-17,0,,,,3.5,,3.3,
IPCA administrados,,4.3,,273,2025-09-17,0,,,,3.8,,3.8,
IPCA,,4.6,,274,2025-11-05,0,,,,3.6,,,3.3
IPCA livres,,4.5,,274,2025-11-05,0,,,,3.6,,,3.2
IPCA administrados,,5.0,,274,2025-11-05,0,,,,3.4,,,3.5
IPCA,,4.4,,275,2025-12-10,0,,,,3.5,,,3.2
IPCA livres,,4.0,,275,2025-12-10,0,,,,3.6,,,3.2
IPCA administrados,,5.3,,275,2025-12-10,0,,,,3.2,,,3.4
